"","Area","Species.richness"
"1",1e-04,2.1
"2",0.0025,9.1
"3",0.01,14.3
"4",0.0625,23.1
"5",0.25,30.1
"6",1,37.4
"7",4,48.5
"8",9,54.5
"9",16,58
"10",25,59.9
"11",49,62.9
"12",100,68.5
"13",225,74.3
"14",400,80.4
"15",625,86
"16",900,92.4
