"Pseudonym";"meal";"choice_1";"choice_2";"choice_3";"choice_4";"choice_5";"choice_6";"choice_7";"choice_8";"choice_9";"choice_10";"satis_1";"satis_2";"satis_3";"ing_1";"ing_2";"ing_3";"ing_4";"att_1";"att_2";"att_3";"att_4";"att_5";"att_6";"att_7";"att_8";"att_9";"att_10";"att_11";"diet";"allerg";"relig";"meds";"tho_1";"tho_2";"tho_3";"tho_4";"tho_5";"tra_1";"tra_2";"tra_3";"tra_4";"tra_5";"meat";"milk";"veget";"veg";"pensum";"cant";"home";"other";"gender";"member";"fill";"age_groups";"mensa";"sumNA";"perNA";"Verpflegungstyp";"date";"place";"intervention";"label_content";"meal_name";"choice_add_d";"choice_add_v";"code_choice";"Bemerkungen_d";"Bemerkungen_v";"code_zu_Bemerkungen"
"2017_HS_K_0349";"Kitchen";3;4;2;4;1;3;"3";"1";"4";1;2;"2";"4";"1";"1";"1";"4";1;4;"1";"1";"1";4;"1";1;"1";"3";4;"0";"0";"0";"0";"2";"1";4;"4";4;1;1;"4";"4";"4";"1";"4";"6";"3";"5";"4";"3";"1";"Mann";"Student/in";"1";"17- bis 25-jaehrig";"1";0;0;"Mensagaenger";2017-11-16;"Reidbach";1;"rein pflanzlich";"Vegi-Burger";0;NA;NA;0;NA;NA
"2017_HS_K_0350";"Kitchen";3;3;2;3;2;4;"3";"2";"2";3;3;"3";"1";"4";"2";"2";"3";4;4;"3";"3";"3";3;"3";4;"3";"3";2;"1";"0";"0";"0";"4";"4";4;"4";3;4;4;"4";"4";"4";"6";"6";"3";"1";"5";"5";"1";"1";"Mann";"Mitarbeiter/in";"0";"35- bis 49-jaehrig";"1";0;0;"Mensagaenger";2017-11-16;"Reidbach";1;"rein pflanzlich";"Vegi-Burger";0;NA;NA;0;NA;NA
"2017_HS_K_0358";"Kitchen";2;2;2;2;NA;4;"1";"1";"1";2;3;"4";"1";"1";"1";"1";"-99";2;4;"2";"4";"4";4;"3";4;"4";"4";3;"0";"0";"0";"0";"3";"4";4;"4";4;2;4;"4";"4";"4";"1";"3";"6";"4";"5";"2";"5";"2";"Mann";"Student/in";"0";"17- bis 25-jaehrig";"1";1;1,92307692307692;"Selbstverpfleger";2017-11-21;"Gr¸ental";0;"vegetarisch";"NA";0;NA;NA;0;NA;NA
"2017_HS_K_0359";"Favorite";3;1;4;3;1;4;"1";"1";"4";1;3;"3";"2";"3";"3";"-99";"-99";2;3;"1";"1";"-99";-99;"-99";-99;"-99";"-99";3;"0";"0";"0";"0";"3";"3";2;"2";1;3;3;"2";"3";"3";"5";"6";NA;"1";"5";"5";"1";"1";NA;"Mitarbeiter/in";"1";"50- bis 64-jaehrig";"1";2;3,84615384615385;"Mensagaenger";2017-11-21;"Gr¸ental";0;"Fleisch/Fisch";"Chickeria";0;NA;NA;0;NA;NA
"2017_HS_K_0360";NA;4;4;4;4;2;3;"1";"3";"1";3;4;"4";"1";"1";"1";"1";"3";2;3;"2";"3";"2";1;"1";4;"2";"2";3;"0";"0";"0";"0";"2";"3";2;"3";4;3;3;"3";"3";"3";"6";"6";"1";"1";"4";"3";"1";"3";"Frau";"Student/in";"0";"17- bis 25-jaehrig";"1";1;1,92307692307692;"Abwechsler";2017-11-21;"Gr¸ental";0;NA;NA;0;NA;NA;0;NA;NA
"2017_HS_K_0361";"Kitchen";3;1;1;3;1;1;"1";"1";"1";1;1;"1";"3";"-99";"-99";"-99";"-99";2;3;"1";"-99";"-99";1;"1";3;"-99";"-99";NA;"0";"0";"0";"0";"4";"3";4;"4";4;4;3;"4";"4";"4";"5";"6";"1";"1";"4";"4";"2";"2";"Frau";"Mitarbeiter/in";"1";"35- bis 49-jaehrig";"1";1;1,92307692307692;"Mensagaenger";2017-11-21;"Gr¸ental";0;"vegetarisch";"NA";0;NA;NA;0;NA;NA
"2017_HS_K_0362";"Kitchen";2;2;2;2;2;4;"2";"2";"2";1;2;"2";"4";"1";"1";"1";"4";3;3;"2";"4";"4";4;"2";3;"3";"4";2;"0";"0";"0";"0";"3";"4";4;"4";2;3;4;"4";"4";"4";"2";"4";"5";"4";"4";"4";"2";"1";"Mann";"Mitarbeiter/in";"1";"26- bis 34-jaehrig";"1";0;0;"Mensagaenger";2017-11-21;"Gr¸ental";0;"vegetarisch";"NA";1;"Vegi Men¸Å (einziges)";"vegi";0;NA;NA
"2017_HS_K_0363";"Kitchen";4;4;4;1;3;1;"1";"1";"4";4;4;"4";"1";"1";"1";"1";"1";2;4;"3";"4";"4";4;"4";2;"-99";"-99";1;"0";"0";"0";"0";"3";"4";4;"4";1;3;4;"4";"4";"4";"1";"5";"6";"3";"2";"3";"1";"1";"Frau";"Mitarbeiter/in";"1";"50- bis 64-jaehrig";"1";0;0;"Mensagaenger";2017-11-21;"Gr¸ental";0;"vegetarisch";"NA";0;NA;NA;0;NA;NA
"2017_HS_K_0364";"Kitchen";3;2;2;1;1;4;"2";"1";"1";1;2;"2";"4";"1";"4";"4";"-99";4;4;"2";"-99";"3";4;"1";3;"3";"-99";3;"0";"0";"0";"0";"4";"4";4;"4";3;4;4;"4";"4";"4";"2";"6";"5";"3";"4";"2";"4";"3";"Mann";"Student/in";"0";"17- bis 25-jaehrig";"1";0;0;"Selbstverpfleger";2017-11-21;"Gr¸ental";0;"vegetarisch";"NA";0;NA;NA;1;"Vegetarischer Tag? Ansonsten leiber weniger als mehr Fleisch. Bio?";"vegi, bio "
"2017_HS_K_0368";"Kitchen";4;4;2;3;1;3;"1";"2";"1";1;3;"3";"2";"-99";"-99";"-99";"-99";3;4;"2";"4";"4";4;"2";3;"-99";"-99";3;"0";"0";"0";"0";"3";"3";3;"4";4;4;4;"4";"4";"4";"4";"6";"4";"2";"5";"4";"3";"2";"Mann";"Student/in";"0";"17- bis 25-jaehrig";"1";0;0;"Mensagaenger";2017-11-21;"Gr¸ental";0;"vegetarisch";"NA";0;NA;NA;1;"Es soll ein 7.- Men¸Å fÅ¸r Vegetarier angeboten werden (immer!).";"vegi"
"2017_HS_K_0369";"Kitchen";3;3;4;3;1;2;"2";"3";"1";1;3;"3";"1";"-99";"-99";"-99";"-99";2;4;"2";"3";"2";2;"1";3;"3";"3";2;"0";"0";"0";"0";"4";"4";3;"3";2;4;4;"3";"3";"4";"5";"7";"4";"2";"5";"1";"4";"2";"Mann";"Student/in";"1";"17- bis 25-jaehrig";"1";1;1,92307692307692;"Selbstverpfleger";2017-11-21;"Gr¸ental";0;"vegetarisch";"NA";0;NA;NA;1;"Vegetarisches Men¸Å sollte im gleichen Preissegment wie die anderen liegen (7.-). (Gezeichneter Schneemann)";"Fleisch teurer "
"2017_HS_K_0371";"Kitchen";NA;NA;NA;NA;NA;4;NA;NA;NA;NA;2;"2";"3";"2";"1";"1";"3";-99;-99;"-99";"-99";"-99";-99;"-99";-99;"-99";"-99";-99;"0";"0";"0";"0";"4";"4";4;"4";4;4;4;"4";"4";"4";"1";"2";"6";"5";"4";"3";"3";"1";"Frau";"Student/in";"1";"17- bis 25-jaehrig";"1";9;17,3076923076923;"Abwechsler";2017-11-21;"Gr¸ental";0;"vegetarisch";"NA";0;NA;NA;1;"Man kann sich selten fÅ¸r eine vegane Variante entscheiden, auch wenn mir das wichtig w‰re. Gerichte enthalten oft zu wenig Gem¸Åse. ";"Kritik am Essen"
"2017_HS_K_0372";"Kitchen";4;4;4;4;2;4;"2";"1";"4";2;3;"3";"1";"3";"1";"1";"4";4;3;"3";"4";"4";4;"2";4;"4";"4";2;"0";"0";"0";"0";"4";"4";4;"4";2;4;4;"4";"4";"4";"2";"5";"5";"2";"4";"5";"1";"1";"Frau";"Student/in";"1";"17- bis 25-jaehrig";"1";0;0;"Mensagaenger";2017-11-21;"Gr¸ental";0;"vegetarisch";"NA";0;NA;NA;0;NA;NA
"2017_HS_K_0373";"Kitchen";4;4;4;3;1;4;"1";"1";"4";3;4;"1";"1";"2";"1";"1";"1";3;4;"2";"4";"4";4;"1";4;"4";"4";4;"0";"0";"0";"0";"4";"4";4;"4";4;4;4;"4";"4";"4";"1";"6";"6";"3";"4";"3";"4";"2";"Mann";"Student/in";"1";"17- bis 25-jaehrig";"1";0;0;"Selbstverpfleger";2017-11-21;"Gr¸ental";0;"vegetarisch";"NA";0;NA;NA;1;"Das Vegi-Men¸Å sollte immer so gÅ¸nstig sein, wie das billigste nicht-vegetarische Men¸Å!";"Fleisch teurer "
"2017_HS_K_0374";"Kitchen";2;3;3;3;2;3;"1";"1";"3";2;4;"2";"1";"2";"1";"1";"3";2;4;"2";"3";"3";4;"1";3;"2";"2";3;"0";"0";"0";"0";"3";"4";3;"4";3;3;4;"3";"3";"4";"1";"6";"6";"3";"4";"2";"4";"2";"Mann";"Student/in";"0";"17- bis 25-jaehrig";"1";0;0;"Selbstverpfleger";2017-11-21;"Gr¸ental";0;"vegetarisch";"NA";0;NA;NA;0;NA;NA
"2017_HS_K_0375";"Kitchen";3;3;4;4;3;3;"1";"2";"4";2;3;"3";"1";"3";"3";"1";"3";3;4;"3";"3";"4";1;"1";4;"3";"3";3;"0";"0";"0";"0";"4";"4";4;"4";4;4;3;"3";"4";"4";"3";"6";"2";"2";"5";"3";"4";"2";"Mann";"Student/in";"0";"26- bis 34-jaehrig";"1";0;0;"Selbstverpfleger";2017-11-21;"Gr¸ental";0;"vegetarisch";"NA";0;NA;NA;1;"Grˆssere Portionen fÅ¸r Hungrige.";"Portionen"
