"Pseudonym";"meal";"choice_1";"choice_2";"choice_3";"choice_4";"choice_5";"choice_6";"choice_7";"choice_8";"choice_9";"choice_10";"satis_1";"satis_2";"satis_3";"ing_1";"ing_2";"ing_3";"ing_4";"att_1";"att_2";"att_3";"att_4";"att_5";"att_6";"att_7";"att_8";"att_9";"att_10";"att_11";"diet";"allerg";"relig";"meds";"tho_1";"tho_2";"tho_3";"tho_4";"tho_5";"tra_1";"tra_2";"tra_3";"tra_4";"tra_5";"meat";"milk";"veget";"veg";"pensum";"cant";"home";"other";"gender";"member";"fill";"age_groups";"mensa";"sumNA";"perNA";"Verpflegungstyp";"date";"place";"intervention";"label_content";"meal_name";"choice_add_d";"choice_add_v";"code_choice";"Bemerkungen_d";"Bemerkungen_v";"code_zu_Bemerkungen"
"2017_HS_F_0001";NA;4;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;"3";NA;"4";"3";"3";"4";4;4;"2";"4";"4";1;"1";4;"3";"4";4;"0";"0";"0";"0";"4";"4";4;"3";3;4;3;"3";"4";"4";"6";"5";"2";"2";"5";"3";"4";"1";"Mann";"Student/in";"0";"17- bis 25-jaehrig";"1";11;21,1538461538462;"Selbstverpfleger";2017-10-17;"Gr¸ental";0;NA;NA;0;NA;NA;0;NA;NA
"2017_HS_F_0007";"Favorite";4;4;4;4;2;4;"2";NA;NA;NA;3;"3";"2";"4";"2";"2";"3";3;4;"3";"3";"4";2;"2";4;"4";"2";3;"1";"0";"0";"0";"4";"3";3;"3";3;4;3;"3";NA;"4";"6";"6";"3";"2";NA;"1";"1";"1";"Mann";"Andere";"0";"26- bis 34-jaehrig";"1";8;15,3846153846154;NA;2017-10-17;"Gr¸ental";0;"Fleisch/Fisch";"Kalbsbratwurst";0;NA;NA;0;NA;NA
"2017_HS_F_0008";"Favorite";3;1;4;2;2;4;"1";"2";"1";3;3;"3";"2";"1";"1";"1";"4";3;4;"3";"4";"4";4;"1";4;"-99";"-99";NA;"0";"0";"0";"0";"3";"4";4;"4";2;3;4;"3";"4";"4";"4";"6";"4";"2";"4";"4";"2";"1";"Mann";"Mitarbeiter/in";"0";"26- bis 34-jaehrig";"1";1;1,92307692307692;"Mensagaenger";2017-10-17;"Gr¸ental";0;"Fleisch/Fisch";"Kalbsbratwurst";1;"Vegi-Men¸Å Åberzeugte nicht";"Unzufrieden mit Auswahl";0;NA;NA
"2017_HS_F_0010";"Favorite";4;1;4;4;4;4;"1";"4";"1";3;3;"3";"1";"1";"1";"1";"3";2;3;"2";"3";"3";2;"2";3;"3";"3";2;"0";"0";"0";"0";"4";"4";4;"4";2;4;4;"4";"4";"4";"4";"5";"4";"2";"2";"3";"3";"2";"Mann";"Student/in";"0";"26- bis 34-jaehrig";"1";0;0;"Abwechsler";2017-10-17;"Gr¸ental";0;"Fleisch/Fisch";"Kalbsbratwurst";0;NA;NA;0;NA;NA
"2017_HS_F_0016";"Favorite";3;3;4;3;2;3;"2";"2";"1";3;4;"4";"1";"3";"4";"-99";"3";2;3;"2";"3";"3";1;"1";3;"4";"3";4;"0";"0";"0";"0";"3";"4";4;"3";4;3;3;NA;"4";"4";"4";"3";"2";"2";"5";"5";"2";"1";"Frau";"Student/in";"0";"26- bis 34-jaehrig";"1";1;1,92307692307692;"Mensagaenger";2017-10-17;"Gr¸ental";0;"Fleisch/Fisch";"Kalbsbratwurst";0;NA;NA;1;"Schˆn w‰ren mehr regionale Lebensmittel von den Bauern rundherum!. Weniger SV Abh‰ngigkeit.";"regional"
"2017_HS_F_0017";"Favorite";3;2;4;3;2;4;"1";"1";"1";3;3;"3";"2";"2";"2";"-99";"-99";1;2;"2";"2";"2";1;"1";3;"2";"-99";3;"0";"1";"0";"0";"3";"3";2;"3";2;3;3;"2";"2";"3";"4";"3";"3";"2";"5";"4";"1";"3";"Mann";"Student/in";"0";"26- bis 34-jaehrig";"1";0;0;"Mensagaenger";2017-10-17;"Gr¸ental";0;"Fleisch/Fisch";"Kalbsbratwurst";0;NA;NA;0;NA;NA
"2017_HS_F_0019";"Favorite";4;1;3;4;3;2;"1";"1";"1";2;3;"3";"2";"1";"1";"1";"4";2;3;"2";"3";"3";2;"1";3;"4";"4";2;"0";"1";"0";"0";"3";"4";4;"4";2;4;4;"4";"4";"4";"5";"6";"3";"2";"3";"3";"1";"1";"Mann";"Student/in";"0";"26- bis 34-jaehrig";"1";0;0;"Mensagaenger";2017-10-17;"Gr¸ental";0;"Fleisch/Fisch";"Kalbsbratwurst";0;NA;NA;0;NA;NA
"2017_HS_F_0020";"Favorite";4;2;4;4;3;3;"1";"1";"1";4;4;"4";"1";"3";"2";"2";"4";3;4;"2";"2";"3";1;"1";4;"4";"4";4;"0";"0";"0";"0";"4";"4";3;"3";4;4;4;"3";"3";"4";"5";"5";"3";"2";"5";"4";"3";"1";"Mann";"Student/in";"0";"17- bis 25-jaehrig";"1";0;0;"Mensagaenger";2017-10-17;"Gr¸ental";0;"Fleisch/Fisch";"Kalbsbratwurst";0;NA;NA;0;NA;NA
"2017_HS_F_0021";"Favorite";3;2;3;3;2;2;"1";"1";"1";4;4;"4";"1";"1";"1";"-99";"-99";4;4;"3";"4";"4";3;"2";3;"4";"4";3;"0";"0";"0";"0";"3";"4";4;"4";3;4;4;"4";"4";"4";"5";"6";"4";"3";"2";"5";"1";"1";"Mann";"Student/in";"0";"26- bis 34-jaehrig";"1";0;0;"Mensagaenger";2017-10-17;"Gr¸ental";0;"Fleisch/Fisch";"Kalbsbratwurst";0;NA;NA;0;NA;NA
"2017_HS_F_0022";"Favorite";3;3;3;3;2;4;"1";"3";"1";3;3;"3";"1";"3";"2";"2";"3";2;4;"2";"2";"2";2;"2";3;"4";"2";4;"0";"0";"0";"0";"4";"4";4;"4";3;4;4;"4";"4";"4";"3";"5";"5";"3";"4";"2";"4";"1";"Mann";"Student/in";"0";"17- bis 25-jaehrig";"1";0;0;"Selbstverpfleger";2017-10-17;"Gr¸ental";0;"Fleisch/Fisch";"Kalbsbratwurst";0;NA;NA;0;NA;NA
"2017_HS_F_0023";"Favorite";3;4;4;4;4;1;"1";"1";"4";4;4;"4";"1";"2";"1";"-99";NA;1;4;"1";NA;NA;1;"1";3;"4";"-99";4;"0";"1";"0";"0";"3";"4";4;"3";3;3;4;"3";"3";"4";"3";"6";"1";"1";"5";"3";"3";"3";"Frau";"Student/in";"0";"26- bis 34-jaehrig";"1";3;5,76923076923077;"Abwechsler";2017-10-17;"Gr¸ental";0;"Fleisch/Fisch";"Kalbsbratwurst";0;NA;NA;1;"Es ist schade, dass Allergiker nicht berÅ¸cksichtigt werden.";"Allergie"
"2017_HS_F_0024";"Favorite";3;3;3;3;2;2;"1";"1";"1";3;4;"3";"1";"3";"2";"-99";"-99";1;3;"1";"2";"2";1;"1";2;"-99";"-99";3;"0";"0";"0";"0";"2";"3";3;"3";2;3;3;"3";"3";"3";"3";"6";"4";"1";"4";"3";"4";"1";"Mann";"Student/in";"0";NA;"1";1;1,92307692307692;"Selbstverpfleger";2017-10-17;"Gr¸ental";0;"Fleisch/Fisch";"Kalbsbratwurst";0;NA;NA;0;NA;NA
"2017_HS_F_0025";"Favorite";4;4;4;4;2;4;"1";"1";"1";4;4;"4";"1";"1";"1";"1";"3";2;4;"2";"2";"3";1;"1";4;"3";"3";4;"0";"0";"0";"0";"3";"3";2;"3";4;4;3;"3";"3";"3";"5";"6";"2";"2";"4";"3";"3";"3";"Mann";"Student/in";"0";"26- bis 34-jaehrig";"1";0;0;"Abwechsler";2017-10-17;"Gr¸ental";0;"Fleisch/Fisch";"Kalbsbratwurst";0;NA;NA;0;NA;NA
"2017_HS_F_0027";"Favorite";4;4;4;4;4;4;"2";"4";"4";4;4;"4";"2";"4";"4";"2";"4";4;4;"4";"4";"4";1;"1";4;"4";"4";2;"0";"0";"1";"0";"4";"4";4;"4";4;4;4;"4";"4";"4";"5";"5";"1";"1";"4";"4";"1";"1";"Mann";"Mitarbeiter/in";"0";"50- bis 64-jaehrig";"1";0;0;"Mensagaenger";2017-10-17;"Gr¸ental";0;"Fleisch/Fisch";"Kalbsbratwurst";0;NA;NA;0;NA;NA
"2017_HS_F_0028";"Favorite";4;4;4;2;3;3;"1";"2";"1";4;4;"4";"1";"1";"4";"1";"1";2;4;"2";"1";"1";1;"1";1;"1";"-99";4;"0";"0";"1";"0";"2";"1";1;"1";4;3;1;"1";"1";"2";"4";"6";"1";"1";"5";"3";"4";"1";"Mann";"Student/in";"0";"17- bis 25-jaehrig";"1";0;0;"Selbstverpfleger";2017-10-17;"Gr¸ental";0;"Fleisch/Fisch";"Kalbsbratwurst";0;NA;NA;0;NA;NA
"2017_HS_F_0029";"Favorite";2;2;2;4;2;2;"2";"2";"4";2;4;"3";"1";"2";"1";"1";"3";3;3;"2";"3";"3";NA;NA;3;"4";"3";3;"0";"0";"0";"0";"3";"4";4;"4";2;3;4;"4";"4";"4";"3";"4";"5";"3";"3";"5";"1";"2";"Mann";"Mitarbeiter/in";"0";"50- bis 64-jaehrig";"1";2;3,84615384615385;"Mensagaenger";2017-10-17;"Gr¸ental";0;"Fleisch/Fisch";"Kalbsbratwurst";0;NA;NA;0;NA;NA
"2017_HS_F_0030";NA;3;1;4;4;2;4;"1";"3";"1";2;4;"3";"3";"2";"1";"1";"4";3;3;"3";"4";"3";4;"4";4;"4";"4";4;"0";"0";"0";"0";"3";"4";4;"4";3;3;4;"4";"4";"4";"1";"3";"6";"4";"1";"2";"3";"1";"Frau";"Student/in";"0";"17- bis 25-jaehrig";"1";1;1,92307692307692;"Selbstverpfleger";2017-10-17;"Gr¸ental";0;NA;NA;1;"Hatte leider nur 1 Vegi Men¸Å";"Ausschlussverfahren, vegi";0;NA;NA
"2017_HS_F_0031";"Favorite";4;4;4;4;4;1;"1";"1";"4";4;3;"3";"1";"4";"3";"2";"3";3;4;"2";"3";"3";1;"1";4;"3";"3";3;"0";"0";"0";"0";"3";"3";2;"3";3;4;3;"3";"4";"3";"5";"6";"3";"1";"5";"5";"1";"2";"Mann";"Student/in";"0";"17- bis 25-jaehrig";"1";0;0;"Mensagaenger";2017-10-17;"Gr¸ental";0;"Fleisch/Fisch";"Kalbsbratwurst";0;NA;NA;0;NA;NA
"2017_HS_F_0032";"Favorite";4;NA;NA;4;2;3;"2";"3";"2";3;3;"3";"1";"3";"3";"-99";"4";4;3;"3";"3";"2";1;"1";3;NA;NA;3;"0";"0";"0";"0";"3";"3";3;"3";3;4;3;"4";"4";"4";"3";"7";"3";"2";"5";"5";"2";"2";"Frau";"Mitarbeiter/in";"0";"26- bis 34-jaehrig";"1";4;7,69230769230769;"Mensagaenger";2017-10-17;"Gr¸ental";0;"Fleisch/Fisch";"Kalbsbratwurst";0;NA;NA;0;NA;NA
"2017_HS_F_0037";"Favorite";2;1;3;1;1;4;"1";"1";"1";1;2;"2";"3";"4";"4";"1";"2";1;4;"1";"1";"1";1;"1";1;"1";"1";1;"0";"0";"0";"0";"3";"1";1;"1";1;2;2;"2";"3";"2";"7";"6";"1";"1";"5";"5";"1";"1";"Mann";"Student/in";"0";"17- bis 25-jaehrig";"1";0;0;"Mensagaenger";2017-10-17;"Reidbach";0;"Fleisch/Fisch";"Kalbsbratwurst";0;NA;NA;0;NA;NA
"2017_HS_F_0038";"Favorite";4;4;4;4;4;3;"1";"4";"4";4;4;"4";"1";"1";"3";"1";"4";2;4;"2";"4";"3";1;"1";4;"4";"4";4;"0";"0";"0";"1";"1";"2";2;"2";3;4;2;"2";"3";"3";"7";"5";"1";"1";"5";"5";"2";"1";"Mann";"Student/in";"0";"17- bis 25-jaehrig";"1";0;0;"Mensagaenger";2017-10-17;"Reidbach";0;"Fleisch/Fisch";"Kalbsbratwurst";0;NA;NA;1;"Banane";"Banane"
"2017_HS_F_0039";"Favorite";4;3;4;4;3;4;"1";"4";"1";3;4;"4";"1";"3";"3";"-99";"3";4;4;NA;"2";"1";1;"1";3;"3";"3";4;"0";"0";"0";"0";"1";"2";1;"1";4;2;3;"2";"3";"4";"5";"6";"1";"1";"5";"4";"3";"1";"Mann";"Student/in";"0";"17- bis 25-jaehrig";"1";1;1,92307692307692;"Mensagaenger";2017-10-17;"Reidbach";0;"Fleisch/Fisch";"Kalbsbratwurst";0;NA;NA;1;"Banane";"Banane"
"2017_HS_F_0040";"Kitchen";3;3;3;2;1;4;"1";"3";"1";1;3;"3";"2";"4";NA;"4";NA;3;3;"1";"1";"1";1;"1";2;"1";"1";4;"0";"0";"0";"0";"3";"1";1;"1";4;3;1;NA;"3";"2";"6";"5";"2";"1";"4";"3";"3";"1";"Frau";"Student/in";"0";"26- bis 34-jaehrig";"1";3;5,76923076923077;"Abwechsler";2017-10-17;"Reidbach";0;"Fleisch/Fisch";"Dorschfilet";0;NA;NA;1;"Zu teuer!";"Finanzen"
"2017_HS_F_0041";"Favorite";2;3;3;2;3;4;"1";"4";"3";2;2;"3";"2";"2";"2";"1";"3";2;4;"2";"2";"1";1;"1";1;"1";"2";4;"0";"0";"0";"0";"3";"2";2;"2";4;3;2;"2";"2";"2";"7";"6";"1";"1";"5";"4";"2";"1";"Mann";"Student/in";"0";"17- bis 25-jaehrig";"1";0;0;"Mensagaenger";2017-10-17;"Reidbach";0;"Fleisch/Fisch";"Kalbsbratwurst";1;"Es hatte Pommes";"Pommes ";1;"Ketchup und Mayo sollte es mindestens zu Pommes immer haben. Ich wÅ¸rde normales Essen bevorzugen gegenÅber diesen komischen extraganten Gerichten, hat wehrschaft";"Ketchup und Mayonnaise"
"2017_HS_F_0042";"Favorite";3;3;4;4;2;4;"1";"3";"1";3;4;"3";"1";"4";"4";"1";"2";1;4;"1";"1";"1";1;"1";1;"1";"1";4;"0";"0";"0";"0";"3";"2";2;"1";3;3;3;"1";"1";"3";"6";"5";"1";"2";"3";"3";"1";"1";"Mann";"Student/in";"0";"26- bis 34-jaehrig";"1";0;0;"Mensagaenger";2017-10-17;"Reidbach";0;"Fleisch/Fisch";"Kalbsbratwurst";0;NA;NA;0;NA;NA
"2017_HS_F_0043";"Favorite";4;3;3;4;1;3;"1";"3";"1";3;4;"3";"1";"3";"3";"-99";"2";3;4;"2";"2";"2";1;"1";3;"4";"2";3;"0";"0";"0";"0";"2";"3";3;"3";2;3;3;"3";"3";"3";"5";"5";"3";"1";"5";"5";"1";"1";"Mann";"Mitarbeiter/in";"0";"26- bis 34-jaehrig";"1";0;0;"Mensagaenger";2017-10-17;"Reidbach";0;"Fleisch/Fisch";"Kalbsbratwurst";0;NA;NA;0;NA;NA
"2017_HS_F_0044";"Favorite";3;3;4;3;2;4;"2";"3";"3";3;4;"3";"1";"-99";"3";"1";"-99";2;3;"1";"2";"1";1;"1";3;"-99";"-99";3;"0";"0";"0";"0";"3";"3";2;"3";3;3;3;"2";"2";"3";"5";"6";"2";"1";"5";"4";"2";"1";"Frau";"Student/in";"0";"17- bis 25-jaehrig";"1";0;0;"Mensagaenger";2017-10-17;"Reidbach";0;"Fleisch/Fisch";"Kalbsbratwurst";1;"Pommes";"Pommes ";1;"Pasta Men¸ jeden Tag (Pasta und Sauce)";"Pasta"
"2017_HS_F_0045";"Favorite";3;3;3;3;2;4;"1";"3";"1";2;3;"3";"1";"3";"4";"1";"1";1;2;"1";"1";"1";1;"1";1;"1";"1";4;"0";"0";"0";"0";"2";"1";1;"1";4;3;1;"1";"1";"1";"4";"5";"2";"1";"5";"4";"1";"2";"Mann";"Student/in";"0";"26- bis 34-jaehrig";"1";0;0;"Mensagaenger";2017-10-17;"Reidbach";0;"Fleisch/Fisch";"Kalbsbratwurst";0;NA;NA;1;"Pasta-Teller f¸År 5.-, t‰glich andere Sauce!";"Pasta"
"2017_HS_F_0046";"Favorite";3;3;2;4;1;4;"1";"4";"4";4;4;"3";"1";"2";"2";"1";"3";2;3;"2";"2";"2";1;"1";3;"3";"3";3;"0";"0";"0";"0";"2";"3";2;"2";3;2;3;"3";"3";"3";"5";"5";"3";"1";"5";"3";"4";"2";"Frau";"Student/in";"0";"26- bis 34-jaehrig";"1";0;0;"Selbstverpfleger";2017-10-17;"Reidbach";0;"Fleisch/Fisch";"Kalbsbratwurst";0;NA;NA;1;"Pastateller die g¸Ånstiger sind und jeden Tag angeboten werden.";"Pasta"
"2017_HS_F_0047";"Favorite";4;4;4;4;3;4;"2";"2";"4";3;4;"4";"1";"1";"1";"1";"1";1;4;"1";"1";"1";1;"1";3;"3";"1";4;"0";"0";"0";"0";"2";"2";2;"2";4;2;2;"3";"4";"4";"7";"6";"1";"1";"5";"5";"1";"1";"Mann";"Student/in";"0";"17- bis 25-jaehrig";"1";0;0;"Mensagaenger";2017-10-17;"Reidbach";0;"Fleisch/Fisch";"Kalbsbratwurst";0;NA;NA;1;"Ketchup und Mayo sollten immer gratis zur VerfÅgung stehen";"Ketchup und Mayonnaise"
"2017_HS_F_0048";"Favorite";2;4;3;3;2;2;"1";"1";"4";4;4;"3";"1";"3";"3";"2";"2";3;4;"2";"1";"2";1;"1";2;"-99";"2";4;"0";"0";"0";"0";"3";"1";2;"2";3;3;2;"2";"3";"4";"4";"5";"1";"1";"4";"4";"1";"3";"Mann";"Student/in";"0";"17- bis 25-jaehrig";"1";0;0;"Mensagaenger";2017-10-17;"Reidbach";0;"Fleisch/Fisch";"Kalbsbratwurst";0;NA;NA;0;NA;NA
"2017_HS_F_0049";"Favorite";1;3;4;2;1;4;"1";"2";"3";3;3;"3";"2";"4";"3";"2";"4";4;2;"3";"4";"2";2;"2";3;"4";"4";3;"0";"0";"0";"0";"4";"3";3;"4";3;4;3;"3";"3";"4";"4";"6";"3";"2";"5";"4";"3";"1";"Mann";"Student/in";"0";"17- bis 25-jaehrig";"1";0;0;"Mensagaenger";2017-10-17;"Reidbach";0;"Fleisch/Fisch";"Kalbsbratwurst";0;NA;NA;0;NA;NA
"2017_HS_F_0050";"Favorite";3;3;2;3;2;4;"1";"1";"1";3;4;"3";"1";"2";"3";"2";"1";2;4;"2";"2";"2";1;"1";4;"3";"3";4;"0";"0";"0";"0";"4";"2";2;"1";4;3;2;"2";"3";"3";"6";"5";"1";"1";"5";"4";"2";"2";"Mann";"Student/in";"0";"17- bis 25-jaehrig";"1";0;0;"Mensagaenger";2017-10-17;"Reidbach";0;"Fleisch/Fisch";"Kalbsbratwurst";0;NA;NA;0;NA;NA
"2017_HS_F_0051";"Favorite";3;2;3;3;1;3;"1";"4";"3";4;3;"3";"2";"4";"4";"1";"3";3;3;"1";"2";"3";1;"1";3;"3";"1";4;"1";"0";"0";"0";"4";"2";1;"2";4;4;2;"2";"2";"3";"7";"6";"2";"1";"5";"4";"1";"3";"Mann";"Student/in";"0";"17- bis 25-jaehrig";"1";1;1,92307692307692;"Mensagaenger";2017-10-17;"Reidbach";0;"Fleisch/Fisch";"Kalbsbratwurst";0;NA;NA;0;NA;NA
"2017_HS_F_0052";"Favorite";3;3;2;3;2;4;"1";"1";"3";2;4;"4";"1";"2";"3";"2";"3";1;3;"1";"3";"1";1;"1";2;"3";"3";2;"0";"0";"0";"0";"1";"3";2;"3";1;2;3;"1";"2";"4";"6";"7";"1";"1";"4";"4";"3";"2";"Frau";"Andere";"0";"17- bis 25-jaehrig";"1";0;0;"Mensagaenger";2017-10-17;"Reidbach";0;"Fleisch/Fisch";"Kalbsbratwurst";0;NA;NA;0;NA;NA
"2017_HS_F_0053";"Favorite";3;4;4;4;3;2;"1";"1";"1";1;4;"4";"1";"1";"3";"1";"1";2;3;"2";"2";"2";1;"1";3;"1";"1";3;"0";"0";"0";"0";"4";"4";3;"3";3;4;4;"4";"4";"4";"4";"5";"3";"2";"5";"2";"5";"1";"Mann";"Student/in";"0";"26- bis 34-jaehrig";"1";0;0;"Selbstverpfleger";2017-10-17;"Reidbach";0;"Fleisch/Fisch";"Kalbsbratwurst";0;NA;NA;0;NA;NA
"2017_HS_F_0054";"Favorite";2;2;3;2;1;4;"1";"3";"2";2;3;"3";"2";"1";"1";"1";"3";2;3;"2";"1";"3";1;"2";NA;"3";"2";2;"0";"0";"0";"0";"3";"4";3;"3";3;4;4;"4";"4";"4";"2";"6";"5";"3";"5";"4";"3";"1";"Frau";"Mitarbeiter/in";"0";"17- bis 25-jaehrig";"1";1;1,92307692307692;"Mensagaenger";2017-10-17;"Reidbach";0;"Fleisch/Fisch";"Kalbsbratwurst";0;NA;NA;0;NA;NA
"2017_HS_F_0055";"Favorite";4;4;4;4;1;1;"1";"1";"1";4;4;"4";"1";"3";"3";"1";"2";3;4;"1";"1";"1";1;"1";2;"3";"1";4;"0";"0";"0";"0";"4";"4";4;"2";4;4;4;"4";NA;"3";"3";"6";"4";"1";"5";"3";"3";"3";"Frau";"Student/in";"0";"17- bis 25-jaehrig";"1";1;1,92307692307692;"Abwechsler";2017-10-17;"Reidbach";0;"Fleisch/Fisch";"Kalbsbratwurst";0;NA;NA;0;NA;NA
"2017_HS_F_0061";"Favorite";NA;4;4;4;3;3;"1";"2";"1";3;3;"4";"1";"3";"2";"2";"-99";1;4;"1";"2";"2";1;"1";2;"1";"1";4;"0";"0";"0";"0";"3";"3";2;"3";4;3;3;"2";"2";"3";"5";"7";"2";"1";"5";"5";"1";"1";"Mann";"Student/in";"0";"26- bis 34-jaehrig";"1";1;1,92307692307692;"Mensagaenger";2017-10-17;"Reidbach";0;"Fleisch/Fisch";"Kalbsbratwurst";0;NA;NA;0;NA;NA
"2017_HS_F_0062";"Favorite";3;4;4;4;4;4;"1";"4";"1";4;4;"4";"1";"4";"4";"1";"3";1;4;"1";"1";"1";1;"1";4;"1";"1";3;"0";"0";"0";"0";"2";"2";1;"3";2;2;1;"1";"1";"3";"6";"6";"1";"1";"5";"5";"1";"1";"Mann";"Mitarbeiter/in";"0";"50- bis 64-jaehrig";"1";0;0;"Mensagaenger";2017-10-17;"Reidbach";0;"Fleisch/Fisch";"Kalbsbratwurst";0;NA;NA;1;"Fleisch, Pommes sind mir wichtig. Spezialit‰ten aus anderen L‰ndern probiere ich auch sehr gerne.";"Pasta, mˆchte Fleisch"
"2017_HS_F_0063";"Favorite";3;2;3;4;1;4;"1";"1";"1";2;3;"3";"2";"1";"1";"1";"1";2;1;"3";"-99";"-99";4;"1";4;"1";"2";3;"0";"0";"1";"0";"3";"2";2;"2";3;3;2;"3";"3";"3";"5";"5";"3";"1";"2";"3";"2";"1";"Frau";"Mitarbeiter/in";"0";"35- bis 49-jaehrig";"1";0;0;"Mensagaenger";2017-10-17;"Reidbach";0;"Fleisch/Fisch";"Kalbsbratwurst";0;NA;NA;0;NA;NA
"2017_HS_F_0064";"Favorite";4;3;4;4;3;4;"2";"1";"1";4;4;"4";"1";"3";"3";"3";"3";3;4;"3";"2";"2";1;"1";-99;"-99";"-99";3;"0";"0";"0";"0";"3";"2";2;"2";3;4;2;"2";"3";"3";"4";"6";"2";"1";"5";"5";"2";"2";"Frau";"Student/in";"0";"17- bis 25-jaehrig";"1";0;0;"Mensagaenger";2017-10-17;"Reidbach";0;"Fleisch/Fisch";"Kalbsbratwurst";0;NA;NA;0;NA;NA
"2017_HS_F_0065";"Favorite";1;1;4;4;NA;3;"1";"1";"4";1;3;"3";"1";"-99";"-99";"-99";"-99";-99;-99;"-99";"-99";"-99";-99;"-99";-99;"-99";"-99";4;"0";"0";"0";"0";"1";"1";1;"1";4;1;1;"1";"1";"1";"4";"6";"1";"1";"5";"3";"4";"2";"Frau";"Student/in";"0";"17- bis 25-jaehrig";"1";1;1,92307692307692;"Selbstverpfleger";2017-10-17;"Reidbach";0;"Fleisch/Fisch";"Kalbsbratwurst";0;NA;NA;1;"Pasta Teller zurÅ¸ck! Ketchup/ Mayo bereitstellen 7.- zu teuer im Vergleich zu ZÅrich SVA Mensa wird langsam aber sicher zu klein f¸År Andrang!";"Pasta, Finanzen"
"2017_HS_F_0066";"Favorite";4;4;3;3;3;4;"1";"1";"1";3;2;"3";"1";"3";"1";"1";"3";2;2;"1";"1";"2";1;"1";1;"2";"2";4;"0";"0";"0";"0";"3";"2";1;"1";4;3;2;"2";"3";"3";"6";"6";"1";"1";"5";"4";"1";"3";"Mann";"Student/in";"0";"17- bis 25-jaehrig";"1";1;1,92307692307692;"Mensagaenger";2017-10-17;"Reidbach";0;"Fleisch/Fisch";"Kalbsbratwurst";0;NA;NA;1;"Nicht geizen mit Zus‰tzen wie z.B. Ketchup und K‰se";"Ketchup und Mayonnaise"
"2017_HS_F_0067";"Favorite";3;1;4;4;1;4;"1";"3";"1";3;4;"3";"1";"4";"4";"2";"2";2;4;"2";"2";"3";1;"1";4;"4";"3";4;"0";"0";"0";"0";"3";"3";3;"3";3;3;3;"3";"3";"3";"4";"6";"1";"1";"5";"5";"1";"1";"Mann";"Student/in";"0";"26- bis 34-jaehrig";"1";1;1,92307692307692;"Mensagaenger";2017-10-17;"Reidbach";0;"Fleisch/Fisch";"Kalbsbratwurst";1;"BauchgefÅ¸hl";"BauchGefÅ¸hl ";1;"Heute waren die Pommes Frites zu wenig gesalzen.";"Salz"
"2017_HS_F_0068";"Favorite";3;4;4;2;2;3;"1";"4";"3";3;4;"4";"1";"4";"4";"-99";"1";2;3;"2";"1";"1";1;"1";2;"-99";"-99";4;"1";"0";"0";"0";"3";"1";1;"1";4;4;1;"1";"2";"2";"6";"7";"1";"1";"5";"4";"1";"1";"Mann";"Student/in";"0";"17- bis 25-jaehrig";"1";0;0;"Mensagaenger";2017-10-17;"Reidbach";0;"Fleisch/Fisch";"Kalbsbratwurst";0;NA;NA;1;"""scho guet, h‰ngs""";"Redundant"
"2017_HS_F_0069";"Favorite";4;1;3;2;1;3;"1";"1";"1";3;3;"3";"1";"2";"2";"2";"2";2;3;"2";"3";"3";1;"1";3;"3";"3";3;"0";"0";"0";"0";"4";"4";4;"3";4;4;4;"4";"4";"4";"4";"6";"4";"3";"1";"3";"4";"1";"Frau";"Student/in";"0";"26- bis 34-jaehrig";"1";0;0;"Selbstverpfleger";2017-10-17;"Reidbach";0;"Fleisch/Fisch";"Kalbsbratwurst";0;NA;NA;0;NA;NA
"2017_HS_F_0070";"Favorite";2;3;4;4;4;4;"2";"1";"1";2;3;"3";"1";"3";"3";"2";"2";3;3;"3";"2";"2";2;"1";3;"3";"2";3;"0";"0";"0";"0";"4";"2";3;"3";4;4;3;"3";"3";"3";"6";"6";"3";"2";"5";"4";"3";"1";"Mann";NA;"0";"17- bis 25-jaehrig";"1";1;1,92307692307692;"Mensagaenger";2017-10-17;"Reidbach";0;"Fleisch/Fisch";"Kalbsbratwurst";0;NA;NA;0;NA;NA
"2017_HS_F_0071";"Favorite";3;1;4;1;4;4;"1";"1";"1";3;4;"4";"1";"4";"4";"-99";"-99";3;4;"1";"1";"1";1;"1";4;"1";"2";3;"0";"0";"0";"0";"3";"2";2;"1";3;4;3;"3";"4";"4";"5";"5";"1";"1";"5";"5";"1";"1";"Mann";"Mitarbeiter/in";"0";"26- bis 34-jaehrig";"1";0;0;"Mensagaenger";2017-10-17;"Reidbach";0;"Fleisch/Fisch";"Kalbsbratwurst";0;NA;NA;0;NA;NA
"2017_HS_F_0072";"Favorite";3;4;4;4;3;3;"1";"1";"2";1;3;"3";"1";"4";"4";"-99";"3";2;4;"3";"3";"3";1;"1";4;"4";"3";3;"0";"0";"0";"0";"4";"3";3;"3";4;3;3;"3";"3";"3";"4";"6";"3";"2";"3";"3";"3";"1";"Frau";"Student/in";"0";"17- bis 25-jaehrig";"1";0;0;"Abwechsler";2017-10-17;"Reidbach";0;"Fleisch/Fisch";"Kalbsbratwurst";0;NA;NA;0;NA;NA
