kanton,gemeinde,schweizer,auslander,einburgerungen,ja,nein,anteil_schweizer,anteil_ausl,anteil_ja,anteil_nein,einwohner,quantile
BE,Aegerten,1534,247,6,403,280,0.8613138686131386,0.1386861313868613,0.5900439238653001,0.40995607613469986,1781,50% - 75%
BL,Aesch (BL),7897,2323,43,1657,1670,0.7727005870841487,0.22729941291585126,0.4980462879470995,0.5019537120529005,10220,90% - 99%
LU,Aesch (LU),924,85,1,305,143,0.9157581764122894,0.08424182358771061,0.6808035714285714,0.31919642857142855,1009,25% - 50%
ZH,Aesch (ZH),1003,154,2,304,283,0.8668971477960242,0.1331028522039758,0.5178875638841567,0.48211243611584326,1157,25% - 50%
SO,Aeschi (SO),1145,68,1,338,263,0.9439406430338005,0.05605935696619951,0.562396006655574,0.43760399334442596,1213,25% - 50%
BE,Aeschi bei Spiez,2036,87,6,580,372,0.959020254357042,0.04097974564295808,0.6092436974789915,0.3907563025210084,2123,50% - 75%
ZH,Aeugst am Albis,1678,277,6,415,439,0.858312020460358,0.14168797953964193,0.4859484777517564,0.5140515222482436,1955,50% - 75%
TG,Affeltrangen,2067,339,0,654,268,0.8591022443890274,0.14089775561097256,0.7093275488069414,0.29067245119305857,2406,50% - 75%
ZH,Affoltern am Albis,8340,2936,55,1947,1836,0.7396239801347996,0.2603760198652004,0.514670896114195,0.4853291038858049,11276,90% - 99%
BE,Affoltern im Emmental,1102,40,6,332,145,0.9649737302977233,0.03502626970227671,0.6960167714884696,0.3039832285115304,1142,25% - 50%
VS,Agarn,727,75,0,213,157,0.9064837905236908,0.09351620947630923,0.5756756756756757,0.4243243243243243,802,25% - 50%
VD,Agiez,241,40,0,49,71,0.8576512455516014,0.1423487544483986,0.4083333333333333,0.5916666666666667,281,0% - 25%
TI,Agno,2878,1296,32,993,347,0.6895064686152372,0.3104935313847628,0.741044776119403,0.258955223880597,4174,75% - 90%
VD,Aigle,5901,3802,67,1199,1458,0.6081624239925796,0.39183757600742036,0.45126082047421906,0.548739179525781,9703,90% - 99%
GE,Aire-la-Ville,905,203,1,180,262,0.8167870036101083,0.1832129963898917,0.4072398190045249,0.5927601809954751,1108,25% - 50%
TI,Airolo,1183,374,9,429,155,0.7597944765574823,0.24020552344251767,0.7345890410958904,0.2654109589041096,1557,50% - 75%
LU,Alberswil,519,71,1,160,65,0.8796610169491526,0.12033898305084746,0.7111111111111111,0.28888888888888886,590,0% - 25%
VS,Albinen,242,26,0,69,66,0.9029850746268657,0.09701492537313433,0.5111111111111111,0.4888888888888889,268,0% - 25%
BE,Alchenstorf,547,20,0,170,82,0.9647266313932981,0.03527336860670194,0.6746031746031746,0.3253968253968254,567,0% - 25%
VD,Allaman,297,114,1,57,100,0.7226277372262774,0.2773722627737226,0.3630573248407643,0.6369426751592356,411,0% - 25%
JU,Alle,1555,182,10,335,330,0.8952216465169833,0.1047783534830167,0.5037593984962406,0.49624060150375937,1737,50% - 75%
BE,Allmendingen,478,33,2,126,124,0.9354207436399217,0.06457925636007827,0.504,0.496,511,0% - 25%
BL,Allschwil,15286,4612,54,3527,3540,0.7682179113478742,0.23178208865212585,0.49908023206452523,0.5009197679354748,19898,90% - 99%
GR,Almens,211,10,0,40,59,0.9547511312217195,0.04524886877828054,0.40404040404040403,0.5959595959595959,221,0% - 25%
OW,Alpnach,4894,842,13,1399,934,0.8532078103207811,0.14679218967921898,0.5996570938705529,0.40034290612944706,5736,75% - 90%
SZ,Alpthal,543,48,1,255,40,0.9187817258883249,0.08121827411167512,0.864406779661017,0.13559322033898305,591,25% - 50%
LU,Altbüron,879,72,4,244,157,0.9242902208201893,0.07570977917981073,0.6084788029925187,0.3915211970074813,951,25% - 50%
UR,Altdorf (UR),7771,1210,12,1483,1726,0.8652711279367554,0.13472887206324463,0.46213773761296356,0.5378622623870365,8981,90% - 99%
SZ,Altendorf,5113,1263,20,1731,968,0.801913425345044,0.19808657465495608,0.6413486476472767,0.3586513523527232,6376,75% - 90%
FR,Alterswil,1892,102,1,522,311,0.9488465396188566,0.05115346038114343,0.6266506602641057,0.37334933973589435,1994,50% - 75%
ZH,Altikon,583,36,1,187,125,0.9418416801292407,0.05815831987075929,0.5993589743589743,0.40064102564102566,619,25% - 50%
LU,Altishofen,1281,250,2,261,240,0.8367080339647289,0.16329196603527107,0.5209580838323353,0.47904191616766467,1531,50% - 75%
TG,Altnau,1676,391,5,358,330,0.810836961780358,0.189163038219642,0.5203488372093024,0.4796511627906977,2067,50% - 75%
